y_true,y_pred,y_proba
0.0,0.0,0.135
0.0,0.0,0.135
0.0,0.0,0.135
0.0,0.0,0.08
0.0,0.0,0.2
0.0,0.0,0.24
0.0,0.0,0.12
0.0,0.0,0.075
0.0,0.0,0.04
0.0,1.0,0.565
1.0,1.0,0.67
0.0,0.0,0.04
0.0,0.0,0.32
0.0,0.0,0.04
0.0,0.0,0.145
1.0,1.0,0.76
0.0,0.0,0.1
1.0,1.0,0.71
0.0,0.0,0.05
0.0,0.0,0.1
1.0,0.0,0.075
0.0,0.0,0.08
0.0,0.0,0.035
1.0,1.0,0.795
0.0,0.0,0.19
1.0,1.0,0.795
0.0,0.0,0.155
1.0,0.0,0.305
0.0,1.0,0.615
0.0,0.0,0.11
0.0,0.0,0.06
0.0,0.0,0.085
0.0,0.0,0.04
0.0,0.0,0.01
0.0,0.0,0.18
0.0,0.0,0.1
0.0,0.0,0.05
1.0,1.0,0.835
0.0,0.0,0.115
0.0,0.0,0.085
0.0,0.0,0.23
1.0,1.0,0.75
1.0,1.0,0.685
0.0,0.0,0.19
0.0,0.0,0.14
1.0,1.0,0.745
1.0,0.0,0.07
0.0,0.0,0.06
0.0,0.0,0.125
0.0,0.0,0.07
0.0,0.0,0.4
0.0,0.0,0.13
0.0,0.0,0.205
0.0,0.0,0.305
1.0,1.0,0.74
1.0,1.0,0.735
0.0,0.0,0.17
1.0,1.0,0.735
0.0,0.0,0.205
1.0,1.0,0.735
0.0,0.0,0.035
0.0,0.0,0.03
0.0,0.0,0.015
0.0,0.0,0.065
0.0,0.0,0.035
0.0,0.0,0.07
0.0,0.0,0.105
0.0,0.0,0.04
0.0,0.0,0.015
1.0,0.0,0.365
1.0,1.0,0.795
0.0,0.0,0.07
1.0,0.0,0.295
0.0,0.0,0.36
0.0,0.0,0.4058333333333334
1.0,1.0,0.665
0.0,0.0,0.05
0.0,0.0,0.05
0.0,0.0,0.03
0.0,0.0,0.145
0.0,0.0,0.15
1.0,1.0,0.69
0.0,0.0,0.105
0.0,0.0,0.02
0.0,0.0,0.23
1.0,1.0,0.69
0.0,0.0,0.085
0.0,0.0,0.08
0.0,0.0,0.03
0.0,0.0,0.065
0.0,0.0,0.145
1.0,0.0,0.22
0.0,0.0,0.105
0.0,0.0,0.035
1.0,0.0,0.035
0.0,0.0,0.03
0.0,0.0,0.035
0.0,0.0,0.035
0.0,0.0,0.035
1.0,1.0,0.835
1.0,1.0,0.86
0.0,0.0,0.025
0.0,0.0,0.035
0.0,1.0,0.545
0.0,0.0,0.1
1.0,1.0,0.69
0.0,0.0,0.045
0.0,0.0,0.09
0.0,0.0,0.005
0.0,0.0,0.015
0.0,0.0,0.025
0.0,0.0,0.045
0.0,0.0,0.01
0.0,0.0,0.05
0.0,0.0,0.005
0.0,0.0,0.02
0.0,0.0,0.055
0.0,0.0,0.035
0.0,0.0,0.145
1.0,1.0,0.65
0.0,0.0,0.205
0.0,0.0,0.045
0.0,0.0,0.17291666666666664
0.0,0.0,0.060833333333333336
0.0,0.0,0.13
0.0,0.0,0.075
0.0,0.0,0.14
1.0,1.0,0.64
0.0,0.0,0.105
0.0,0.0,0.08
0.0,0.0,0.14
1.0,1.0,0.65
0.0,0.0,0.05
0.0,0.0,0.205
1.0,1.0,0.745
0.0,0.0,0.155
0.0,0.0,0.1
1.0,1.0,0.66
0.0,0.0,0.105
1.0,1.0,0.745
0.0,0.0,0.08
1.0,1.0,0.78
1.0,1.0,0.815
0.0,0.0,0.055
0.0,0.0,0.165
1.0,1.0,0.71
0.0,0.0,0.145
0.0,0.0,0.095
0.0,0.0,0.14
0.0,0.0,0.145
1.0,1.0,0.715
0.0,0.0,0.095
0.0,0.0,0.165
0.0,0.0,0.315
0.0,0.0,0.245
1.0,0.0,0.14
0.0,0.0,0.015
0.0,0.0,0.03
0.0,0.0,0.05
0.0,0.0,0.13
0.0,0.0,0.065
0.0,0.0,0.105
0.0,0.0,0.135
0.0,0.0,0.12
1.0,1.0,0.79
0.0,1.0,0.72
0.0,0.0,0.06833333333333334
0.0,0.0,0.105
1.0,1.0,0.64
0.0,0.0,0.125
0.0,0.0,0.14
1.0,0.0,0.21
0.0,0.0,0.045
